instrument_id,level,side,quantity,price
0,0,1,3,12931
0,0,46,11402
0,1,12,-2310
0,1,21,12291
0,0,19,14962
0,1,49,2280
0,1,25,12721
0,0,49,14702
0,1,15,-2420
0,1,13,11141
0,0,40,11592
0,1,16,630
0,1,48,12291
0,0,34,13252
0,1,19,3650
0,1,41,11531
0,0,28,14812
0,1,16,-1620
0,1,34,11511
0,0,0,12462
0,1,18,1650
0,1,2,12761
0,0,10,13712
0,1,48,-5300
0,1,48,14771
0,0,32,13362
0,1,31,-1420
0,1,34,11351
0,0,29,13152
0,1,1,-2960
0,1,16,10251
0,0,37,12842
0,1,27,-5710
0,1,29,13871
0,0,11,12702
0,1,40,-2560
0,1,15,13281
0,0,39,14172
0,1,36,2580
0,1,49,13851
0,0,44,11412
0,1,26,5490
0,1,29,12551
0,0,24,13032
0,1,22,430
0,1,24,14311
0,0,42,11902
0,1,34,2610
0,1,32,12131
0,0,32,12572
0,1,15,3860
0,1,27,14921
0,0,17,13262
0,1,20,1450
0,1,28,13211
0,0,32,10582
0,1,34,2150
0,1,27,13651
0,0,33,14082
0,1,19,1660
0,1,40,12991
0,0,24,14162
0,1,25,-2190
0,1,3,12701
0,0,21,10032
0,1,30,6400
0,1,34,14931
0,0,27,14732
0,1,48,4110,
0,1,14,14381
0,0,22,14622
0,1,10,-2070
0,1,10,11661
0,0,7,13582
0,1,49,-2890
0,1,27,12291
0,0,42,14882
0,1,47,-4290
0,1,22,13581
0,0,35,11472
0,1,23,-1540
0,1,43,11801
0,0,41,14902
0,1,17,-5880
0,1,46,11751
0,0,29,10162
0,1,44,4760
0,1,8,11751
0,0,19,10012
0,1,21,-2640
0,1,28,10361
0,0,36,12262
0,1,7,-6790
0,1,2,14951
0,0,24,12482
0,1,1,-940
0,1,38,13371
0,0,18,14822
0,1,17,-1100,0

